Code,School
BEY,Berkeley High School
CAT,Catawba Ridge High School
CHP,Chapin High School
ESL,Easley High School
ESD,Eastside High School
FOM,Fort Mill High School
GSC,Goose Creek High School
GRV,Greenville High School
GHS,Greenwood High School Eagles
HLC,Hillcrest High School
ILD,Indian Land High School
IRM,Irmo High School
LBK,Lucy Beckham High School
LGE,Lugoff-Elgin High School
MYR,Myrtle Beach High School
NFD,Nation Ford High School
NMB,North Myrtle Beach High School
NOW,Northwestern High School
RVS,Riverside High School
SOC,Socastee High School
SJA,St James High School
TLH,T L Hanna High School
WEF,West Florence High School
WWD,Westwood High School
WHK,White Knoll High School
WOM,Woodmont High School
